,feature,Ranking
504,CCDC53,102
505,P2RX1,93
506,CCDC71,4
507,MARCKS,1
508,ST6GALNAC5.1,1
509,MTMR7,75
510,NAA25,98
511,CHST15,124
512,PHOX2A,100
513,TMEM56,59
514,NOMO1,56
515,TNKS2,16
516,SNX9,97
517,MAGEB4,65
518,MEOX2,116
519,HTR1D,55
520,PRSS45,109
521,ULK4,30
522,LRPAP1,79
523,SHH,39
524,DEGS2.1,32
525,CTSO,122
526,C20orf29,73
527,LMAN2,63
528,USP53,20
529,PRPF19,130
530,C17orf82,26
531,VAX2,92
532,TXNIP,43
533,PKN1,45
534,RALGPS2,131
535,WDR44,22
536,PCSK1N,10
537,MAGED1,28
538,FADD,101
539,PLEKHH2,19
540,TMEM82,61
541,RNGTT,79
542,MYO5C,61
543,LOC729156,86
544,PEX6.1,101
545,NUDT10,44
546,PLAC2,101
547,GABRE,16
548,APPBP2,18
549,CARD10,1
550,PPP4R2,33
551,SRRM1,89
552,TOP1MT,28
553,ST18,39
554,C5orf34,79
555,SEC61A1,105
556,RBAK,1
557,MAP2K6,1
558,SLAIN1,78
559,ATP13A1,2
560,STARD7.1,107
561,CCDC109B,55
562,THSD4,1
563,MAGT1,44
564,MFSD6L,98
565,MTMR1,130
566,MAGEB16,4
567,EDEM1.1,56
568,BATF,64
569,PIGS,80
570,IGF2BP3,1
571,MCAM,50
572,MGC2752,1
573,NPM3,47
574,NAB2,62
575,MPI,86
576,ZNF444,87
577,CLCN1,103
578,JOSD1.1,4
579,PTH2R,82
580,AKR7A3.1,10
581,HLA.E,74
582,CXCR5,112
583,EFNA3,39
584,ART4,13
585,MORC1,60
586,CHRM4,91
587,C7orf38.1,4
588,ADRBK2,1
589,WDFY4,114
590,MAL2,85
591,AZU1,78
592,IL12A,22
593,ASCL2,118
594,HIST1H4G,79
595,GCC1,104
596,RSPO2,1
597,EIF4EBP2,46
598,FAHD2A,88
599,SFRP1,15
600,DNAJC9,79
601,RAB5B,16
602,SDR42E1,104
603,SLC16A13,33
604,PYGO1,126
605,PRSS42,116
606,GATAD2B,1
607,MYH3,128
608,TUBA1A,14
609,MAEL,94
610,FOXK2,38
611,ZNF486,23
612,DCLK1.1,130
613,CUEDC2,1
614,FSCN3,4
615,ERCC6,35
616,COL9A2,21
617,TRIM27,67
618,GBX1,19
619,MTMR9,24
620,RAP2B,16
621,SELK,1
622,RSPH1,66
623,DLEU7,76
624,HCG27,18
625,TPH2,71
626,GATA5,78
627,TOR3A,118
628,ENTPD3,120
629,KIAA1614,98
630,ZNF584,60
631,FAM71F1,102
632,EEF1G,89
633,MAGOHB,21
634,SVIL,84
635,SCML4,67
636,NKX2.2,68
637,STAMBPL1,17
638,ZNF256,125
639,OTOP3,65
640,OR6C1,74
641,FMNL2,41
642,TMEM181,9
643,HOXB7,29
644,FA2H,98
645,KRI1,131
646,TMEM109,120
647,REM1.1,1
648,PGLS,94
649,PRAF2,100
650,NUDT15,78
651,UNC119B,26
652,AKAP8L,23
653,LENG9,46
654,CHST11,12
655,DUSP21,97
656,NR2F2,126
657,IRX5,16
658,VWA5B2,21
659,C7orf60,38
660,FADD.1,1
661,FLJ43390,87
662,NOTCH4,130
663,CALML3,94
664,RING1,88
665,C11orf61,37
666,USP39,106
667,MYC,23
668,HJURP,72
669,YDJC.1,70
670,PAGE1,111
671,VAT1,109
672,SLC35E3,57
673,ADRA2B,124
674,PWP1,125
675,LVRN,129
676,MRGPRE,88
677,HES3,117
678,PAX4,104
679,C7orf27.1,1
