,feature,Ranking
814,ARL6IP1,1
815,ARL6IP5,18
816,ARL6IP6,42
817,ARL8A,1
818,ARL8B,30
819,ARL9,31
820,ARMC1,10
821,ARMC10,25
822,ARMC2,12
823,ARMC3,20
824,ARMC4,57
825,ARMC5,32
826,ARMC6,13
827,ARMC7,4
828,ARMC8,44
829,ARMC9,50
830,ARMCX2,1
831,ARMCX3,1
832,ARMCX5,1
833,ARMCX6,1
834,ARMS2,1
835,ARNT,52
836,ARNT2,60
837,ARNTL,58
838,ARNTL2,15
839,ARPC1A,15
840,ARPC1B,29
841,ARPC2,60
842,ARPC3,41
843,ARPC4,1
844,ARPC5,51
845,ARPC5L,11
846,ARPP19,1
847,ARPP21,55
848,ARR3,1
849,ARRB1,1
850,ARRB2,20
851,ARRDC1,1
852,ARRDC2,46
853,ARRDC3,1
854,ARRDC4,43
855,ARRDC5,47
856,ARSB,14
857,ARSG,1
858,ARSI,1
859,ARSJ,58
860,ARSK,2
861,ART1,57
862,ART3,7
863,ART4,47
864,ART5,64
865,ARTN,16
866,ARV1,54
867,ARX,1
868,AS3MT,64
869,ASAH1,21
870,ASAH2B,19
871,ASAP1,1
872,ASAP2,1
873,ASAP3,1
874,ASB1,43
875,ASB10,29
876,ASB12,1
877,ASB14,42
878,ASB15,44
879,ASB16,1
880,ASB17,5
881,ASB18,49
882,ASB2,58
883,ASB3,15
884,ASB4,1
885,ASB5,8
886,ASB6,35
887,ASB7,9
888,ASB8,1
889,ASCC1,3
890,ASCC2,7
891,ASCC3,5
892,ASCL1,29
893,ASCL2,64
894,ASCL3,57
895,ASCL4,25
896,ASF1A,15
897,ASF1B,41
898,ASGR1,1
899,ASGR2,49
900,ASH1L,31
901,ASH2L,17
902,ASIP,23
903,ASL,35
904,ASNA1,33
905,ASNS,23
906,ASNSD1,39
907,ASPA,20
908,ASPG,23
909,ASPH,14
910,ASPHD2,22
911,ASPM,25
912,ASPRV1,64
913,ASPSCR1,43
914,ASRGL1,37
915,ASS1,46
916,ASTE1,8
917,ASTL,53
918,ASTN1,30
919,ASTN2,38
920,ASXL1,9
921,ASXL2,5
922,ASXL3,15
923,ASZ1,24
924,ATAD1,30
925,ATAD2,20
926,ATAD2B,28
927,ATAD5,1
928,ATCAY,33
929,ATE1,56
930,ATF1,5
931,ATF2,44
932,ATF3,23
933,ATF4,45
934,ATF6,58
935,ATF7,1
936,ATF7IP,56
937,ATF7IP2,10
938,ATG10,1
939,ATG12,1
940,ATG16L1,45
941,ATG16L2,24
942,ATG2B,31
943,ATG3,21
944,ATG4A,1
945,ATG4C,1
946,ATG4D,26
947,ATG5,7
948,ATG7,62
949,ATG9A,60
950,ATG9B,34
951,ATIC,26
952,ATL1,1
953,ATL2,17
954,ATL3,17
955,ATM,49
956,ATMIN,3
957,ATN1,15
958,ATOH1,17
959,ATOH7,64
960,ATOH8,45
961,ATOX1,57
962,ATP10A,17
963,ATP10B,1
964,ATP10D,55
965,ATP11A,10
966,ATP11B,42
967,ATP12A,46
968,ATP13A1,31
969,ATP13A2,39
970,ATP13A3,26
971,ATP13A4,18
972,ATP13A5,39
973,ATP1A1,64
974,ATP1A2,58
975,ATP1A3,57
976,ATP1A4,42
977,ATP1B1,55
978,ATP1B2,15
979,ATP1B3,8
980,ATP1B4,1
981,ATP2A2,63
982,ATP2A3,24
983,ATP2B1,27
984,ATP2B2,49
985,ATP2B3,1
986,ATP2B4,6
987,ATP2C1,31
988,ATP4A,18
989,ATP4B,1
990,ATP5A1,39
991,ATP5B,1
992,ATP5C1,1
993,ATP5E,4
994,ATP5F1,61
995,ATP5G1,33
996,ATP5G2,1
997,ATP5G3,46
998,ATP5H,43
999,ATP5J,1
1000,ATP5J2,4
1001,ATP5L,62
1002,ATP5O,1
1003,ATP5S,44
1004,ATP5SL,46
1005,ATP6AP1,1
1006,ATP6AP1L,1
1007,ATP6AP2,11
1008,ATP6V0A1,2
1009,ATP6V0A2,47
1010,ATP6V0A4,17
1011,ATP6V0B,62
1012,ATP6V0C,1
1013,ATP6V0D1,17
1014,ATP6V0D2,1
1015,ATP6V0E1,51
1016,ATP6V1A,21
1017,ATP6V1B1,6
1018,ATP6V1B2,25
1019,ATP6V1C1,1
1020,ATP6V1C2,37
1021,ATP6V1D,44
1022,ATP6V1E1,23
1023,ATP6V1E2,1
1024,ATP6V1F,45
1025,ATP6V1G1,12
1026,ATP6V1G3,28
1027,ATP6V1H,1
1028,ATP7A,1
1029,ATP7B,46
1030,ATP8A1,30
1031,ATP8A2,30
1032,ATP8B1,16
1033,ATP8B2,52
1034,ATP8B4,1
1035,ATP9A,1
1036,ATP9B,34
1037,ATPAF1,17
1038,ATPAF2,2
1039,ATPIF1,34
1040,ATR,1
1041,ATRIP,53
1042,ATRN,47
1043,ATRNL1,50
1044,ATRX,1
1045,ATXN1,37
1046,ATXN10,39
1047,ATXN1L,29
1048,ATXN2,29
1049,ATXN3,63
1050,ATXN7,8
1051,ATXN7L1,31
1052,ATXN7L2,35
1053,ATXN7L3,6
1054,ATXN7L3B,1
1055,ATXN8OS,29
1056,AUH,15
1057,AUP1,40
1058,AURKA,1
1059,AURKB,45
1060,AURKC,49
1061,AUTS2,16
1062,AVEN,20
1063,AVIL,19
1064,AVL9,1
1065,AVPI1,54
1066,AVPR1A,1
1067,AVPR1B,10
1068,AVPR2,3
1069,AWAT1,2
1070,AXIN2,32
1071,AXL,30
1072,AZGP1,3
1073,AZI2,57
1074,AZIN1,15
1075,AZU1,17
1076,B2M,4
1077,B3GALNT1,27
1078,B3GALNT2,43
1079,B3GALT1,36
1080,B3GALT2,35
1081,B3GALT4,61
1082,B3GALT5,13
1083,B3GAT2,62
1084,B3GAT3,20
1085,B3GNT2,36
1086,B3GNT3,31
1087,B3GNT5,48
1088,B3GNT6,1
1089,B3GNT7,54
1090,B3GNT8,64
1091,B3GNT9,20
1092,B3GNTL1,7
1093,B4GALNT1,21
1094,B4GALNT2,1
1095,B4GALT1,32
1096,B4GALT2,10
1097,B4GALT3,35
1098,B4GALT4,56
1099,B4GALT5,17
1100,B4GALT6,1
1101,B4GALT7,50
1102,B9D1,13
1103,B9D2,54
1104,BAALC,5
1105,BAAT,50
1106,BACE1,60
1107,BACE2,1
1108,BACH1,22
1109,BACH2,63
1110,BAD,29
1111,BAG1,29
1112,BAG2,13
1113,BAG3,48
1114,BAG4,1
1115,BAG5,17
1116,BAHCC1,18
1117,BAHD1,64
1118,BAIAP2,52
1119,BAIAP2L1,1
1120,BAIAP2L2,29
1121,BAIAP3,1
1122,BAK1,26
1123,BAMBI,48
1124,BANF1,17
1125,BANF2,63
1126,BANK1,50
1127,BANP,1
1128,BAP1,44
1129,BARD1,54
1130,BARHL1,1
1131,BARHL2,33
1132,BARX2,50
1133,BASP1,19
1134,BATF,49
1135,BATF3,52
1136,BAX,42
1137,BAZ1A,1
1138,BAZ1B,7
1139,BAZ2A,5
1140,BAZ2B,5
1141,BBC3,57
1142,BBOX1,57
1143,BBS1,1
1144,BBS10,1
1145,BBS12,64
1146,BBS2,43
1147,BBS4,63
1148,BBS5,27
1149,BBS7,23
1150,BBS9,5
1151,BBX,30
1152,BCAM,62
1153,BCAN,53
1154,BCAP29,7
1155,BCAP31,1
1156,BCAR1,7
1157,BCAR3,8
1158,BCAR4,1
1159,BCAS1,1
1160,BCAS2,37
1161,BCAS3,1
1162,BCAS4,1
1163,BCAT2,51
1164,BCCIP,45
1165,BCDIN3D,1
1166,BCHE,8
1167,BCKDHA,14
1168,BCKDHB,23
1169,BCKDK,14
1170,BCL10,55
1171,BCL11A,43
1172,BCL11B,37
1173,BCL2,19
1174,BCL2A1,50
1175,BCL2L1,36
1176,BCL2L10,21
1177,BCL2L11,50
1178,BCL2L12,16
1179,BCL2L13,60
1180,BCL2L14,59
1181,BCL2L15,57
1182,BCL2L2,1
1183,BCL3,42
1184,BCL6,32
1185,BCL6B,40
1186,BCL7A,15
1187,BCL7B,57
1188,BCL7C,40
1189,BCL9L,41
1190,BCLAF1,58
1191,BCO2,22
1192,BCOR,1
1193,BCORL1,1
1194,BCS1L,49
1195,BCYRN1,10
1196,BDH1,20
1197,BDH2,55
1198,BDKRB1,11
1199,BDKRB2,48
1200,BDNF,52
1201,BDP1,13
1202,BECN1,15
1203,BEGAIN,52
1204,BEND2,1
1205,BEND3,3
1206,BEND4,47
1207,BEND5,27
1208,BEND6,44
1209,BEND7,1
1210,BEST1,1
1211,BEST2,64
1212,BEST3,1
1213,BET1,32
1214,BEX1,1
1215,BEX2,1
1216,BEX4,1
1217,BEX5,1
1218,BFAR,1
1219,BFSP1,35
1220,BFSP2,33
1221,BGLAP,22
1222,BGN,1
1223,BHLHB9,1
1224,BHLHE22,34
1225,BHLHE40,20
1226,BHMT,16
1227,BHMT2,11
1228,BICC1,28
1229,BICD1,22
1230,BICD2,32
1231,BID,6
1232,BIK,42
1233,BIN1,21
1234,BIN2,54
1235,BIN3,45
1236,BIRC5,1
1237,BIRC6,19
1238,BIRC8,59
1239,BIVM,2
1240,BLCAP,19
1241,BLID,47
1242,BLK,25
1243,BLM,55
1244,BLMH,1
1245,BLNK,54
1246,BLOC1S1,1
1247,BLOC1S2,32
1248,BLOC1S3,64
1249,BLVRA,38
1250,BLVRB,19
1251,BLZF1,10
1252,BMF,32
1253,BMI1,22
1254,BMP1,16
1255,BMP10,34
1256,BMP15,1
1257,BMP2,1
1258,BMP2K,1
1259,BMP3,1
1260,BMP4,4
1261,BMP5,23
1262,BMP6,8
1263,BMP7,8
1264,BMP8A,41
1265,BMP8B,35
1266,BMPER,1
1267,BMPR1A,61
1268,BMPR1B,38
1269,BMPR2,37
1270,BMS1,20
1271,BMS1P4,26
1272,BNC1,51
1273,BNC2,35
1274,BNIP1,43
1275,BNIP2,46
1276,BNIP3,24
1277,BNIP3L,61
1278,BNIPL,52
1279,BOC,17
1280,BOD1,63
1281,BOLA3,64
1282,BOLL,63
1283,BPESC1,61
1284,BPGM,35
1285,BPHL,49
1286,BPI,1
1287,BPNT1,17
1288,BPTF,1
1289,BRAF,18
1290,BRAP,32
1291,BRCA1,1
1292,BRCA2,17
1293,BRD2,33
1294,BRD3,58
1295,BRD4,18
1296,BRD7,19
1297,BRD8,16
1298,BRDT,1
1299,BRE,46
1300,BRF1,49
1301,BRF2,39
1302,BRI3,1
1303,BRI3BP,18
1304,BRIP1,1
1305,BRIX1,56
1306,BRMS1,1
1307,BRMS1L,53
1308,BRPF1,47
1309,BRPF3,38
1310,BRS3,1
1311,BRSK1,55
1312,BRSK2,55
1313,BRWD1,1
1314,BRWD3,1
1315,BSCL2,1
