,feature,Ranking
588,ANKRD9,71
589,ANKS1A,80
590,ANKS1B,31
591,ANKS3,6
592,ANKS4B,45
593,ANKS6,61
594,ANKZF1,148
595,ANLN,41
596,ANO1,21
597,ANO10,123
598,ANO2,47
599,ANO3,142
600,ANO4,129
601,ANO5,48
602,ANO6,112
603,ANO7,149
604,ANO8,100
605,ANP32A,129
606,ANP32B,145
607,ANP32D,18
608,ANP32E,48
609,ANPEP,148
610,ANTXR1,73
611,ANTXR2,138
612,ANXA1,125
613,ANXA10,54
614,ANXA13,49
615,ANXA2,114
616,ANXA3,49
617,ANXA4,72
618,ANXA5,111
619,ANXA6,88
620,ANXA7,29
621,ANXA9,87
622,AOAH,4
623,AOC2,6
624,AOC3,30
625,AOX1,40
626,AP1AR,71
627,AP1B1,63
628,AP1G1,88
629,AP1G2,34
630,AP1M1,116
631,AP1M2,110
632,AP1S1,60
633,AP1S2,15
634,AP1S3,148
635,AP2A1,70
636,AP2A2,59
637,AP2B1,23
638,AP2M1,93
639,AP2S1,140
640,AP3B1,50
641,AP3B2,134
642,AP3D1,78
643,AP3M1,85
644,AP3M2,26
645,AP3S1,131
646,AP3S2,56
647,AP4B1,115
648,AP4E1,10
649,AP4M1,44
650,AP4S1,33
651,APAF1,116
652,APBA1,104
653,APBA3,66
654,APBB1,130
655,APBB1IP,69
656,APBB2,60
657,APBB3,114
658,APC,75
659,APC2,23
660,APCDD1,102
661,APCDD1L,15
662,APCS,3
663,APEH,94
664,APEX1,49
665,APEX2,41
666,APH1A,97
667,APH1B,104
668,API5,47
669,APIP,149
670,APITD1,57
671,APLN,1
672,APLNR,88
673,APLP1,75
674,APLP2,18
675,APOA1,90
676,APOA1BP,148
677,APOA2,119
678,APOA4,121
679,APOA5,102
680,APOB,13
681,APOBEC1,53
682,APOBEC2,100
683,APOBEC3C,9
684,APOBEC3D,13
685,APOBEC3F,76
686,APOBEC3G,7
687,APOBEC3H,28
688,APOBEC4,50
689,APOC1,27
690,APOC2,85
691,APOC3,99
692,APOC4,62
693,APOE,53
694,APOF,51
695,APOH,76
696,APOL4,104
697,APOL5,108
698,APOLD1,144
699,APOO,7
700,APP,82
